,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Temnodontosaurus trigonodon,3.560207568,1.30913099,-0.775920282,1.462582859,1.224687773
Leptonectes tenuirostris,3.177464957,0.785480294,0.056727819,-1.921484344,1.520893383
Hauffiopteryx typicus,4.342282561,-0.990084643,0.356411197,-1.684767269,0.375654994
Excalibosaurus costini,4.549501731,0.166197456,0.157811516,-1.064799463,1.265035951
Eurhinosaurus longirostris,3.085820338,1.239338431,0.348511302,1.474485597,0.729071602
Stenopterygius quadriscissus,3.712669569,-0.550331922,-0.374480468,-1.542381849,0.010187409
Stenopterygius triscissus,3.183590544,0.74205069,-0.199703342,1.564942216,0.897996502
Stenopterygius uniter,3.558412299,0.972593363,-0.044170343,-0.66186626,0.765810186
Ichthyosaurus communis   ,3.326150166,-0.592546071,-0.80177462,-1.634155478,0.915040222
Ichthyosaurus somersetensis,4.104177428,-0.502263567,-0.099531122,-2.08742529,-0.085670784
Ichthyosaurus larkini,2.853501506,-0.501261014,-0.566514179,-0.973402766,-0.152816088
Ophthalmosaurus icenicus,6.34391929,-1.089472924,1.077158308,-2.772396083,-0.220347372
Cryopterygius kristiansenae,4.994503027,-0.809867901,-0.366519145,-1.185187262,-0.31212156
Caypullysaurus bonapartei,4.80236351,-0.119783235,-0.35512596,-0.985006553,-0.700802876
Platypterygius hercynicus,6.392091589,-0.67733443,0.18604772,-3.616510484,-0.163395378
Clarazia schinzi,-0.173129297,-0.967706053,-1.78520726,0.554535254,0.156271769
Askeptosaurus italicus,-0.809384349,-1.363662551,-2.960465555,-0.644241898,1.165307745
Anshunsaurus huangguoshuensis,0.148422804,-1.494615655,-1.000296336,-0.300580891,0.160532981
Miodentosaurus brevis,0.181898391,-1.243603096,-1.21858305,-0.060209663,-1.335371389
Endennasaurus acutirostris,-1.195157663,-0.901037398,-2.123304207,-0.197161216,0.987952476
Hupehsuchus nanchangensis,2.017252013,-2.663729856,1.130778573,-0.127916539,0.418560334
Eretmophis carroldongi,1.609861397,-2.125330687,1.736657304,-0.518537757,-0.567334651
Helveticosurus zollingeri,0.050421785,-0.606453518,0.766210113,0.241438543,-1.378386898
Largocephalosaurus polycarpon,-0.161619828,-1.440538043,0.010695902,-0.797092346,-0.817793663
Tanystropheus longobardicus,-2.686385994,1.235232334,-2.086489907,0.775766676,-1.470015232
Tanytrachelos ahynis,-2.794463574,-0.121662019,-1.133623385,-0.620077351,-0.55545183
Dinocephalosaurus orientalis,-0.664538354,0.373456916,-1.212628585,0.677317068,-1.62289601
Atopodentatus unicus,-0.08701217,-0.929065849,-0.415135268,-0.183123197,-1.656518243
Odontochelys semitestacea,-0.898329863,-0.73352383,-0.051368025,-0.883991543,-0.11121842
Proganochelys quenstedti,-1.234582547,-1.105762717,0.373893328,-0.873096747,-1.055200338
Eorhynchochelys sinensis,-0.688394095,-0.593920017,-0.628686712,0.066898085,0.201326297
Platysuchus multicrobiculatus,-1.03568679,-1.401435151,-2.544085095,-0.224007783,1.780543831
Pelagosaurus typus,-1.111206035,-1.402967399,-3.185824407,0.471721294,2.090676905
Steneosaurus bollensis,-0.774515009,-1.12923346,-2.667948811,0.411125941,2.095825136
Metriorhynchus superciliosus,-0.381650153,-1.752920717,-3.666450038,-0.146614459,0.582428437
Cricosaurus suevicus,0.371413874,-1.728947258,-3.444618208,0.733157233,1.123586687
Cricosaurus bambergensis,-0.209676097,-2.118638584,-3.557800619,0.654349717,1.154172476
Dakosaurus maximus,0.130944251,-2.051995908,-2.828850494,0.807317177,-0.412047989
Kallimodon pulchellus,-2.025996292,-0.817160131,-0.798956592,0.399091752,0.734934188
Kallimodon cerinensis ,-1.886907808,-0.946266883,-0.56682733,0.399828273,0.654558569
Sapheosaurus thiollierei,-1.575172295,-1.054074256,-1.021727458,0.388816835,0.68417933
Vadasaurus herzogi,-1.945217455,0.118022847,-1.284801409,0.577588768,1.508693084
Palaeopleurosaurus posidoniae,-0.160569367,-2.117006308,-1.535658261,1.300450527,-0.635256428
Pleurosaurus ginsburgi,-0.360891283,-2.186433348,-2.524388957,3.125412406,-0.92516794
Pleurosaurus goldfussi,-0.202702368,-2.691362134,-1.851213527,1.28480056,-0.675805895
Eurysternum wagleri,-1.051783387,-1.072014796,0.109607293,-0.607991187,-1.184751495
Idiochelys fitzingeri,-1.376798956,0.12710036,0.555710401,-0.648989006,-0.490687122
Platychelys oberndorferi,-0.797956293,-0.925186065,1.19845386,-0.235740774,-0.729568324
Xinjiangchelys wusu,-1.200133583,-0.973198255,-0.504644199,-0.398209364,-1.251332298
Aigialosaurus bucchichi,-0.189609621,-1.736822882,-1.109145274,0.494929328,-0.053563707
Halisaurus sternbergii,1.389148804,-1.04064593,-0.175129277,0.916063776,-0.275223536
Clidastes prophyton,2.634504213,-2.191050121,0.688698584,0.406581452,-0.605758581
Mosasaurus lemonnieri,3.144251611,-0.784124471,0.827090561,1.680800437,-0.429168316
Plotosaurus bennisoni,2.737344656,0.207223926,0.360405419,2.263251639,0.608556948
Platecarpus tympaniticus,2.380192774,-0.87860322,0.677793906,0.930321363,-0.127353271
Tylosaurus proriger ,2.328497438,-0.056549163,0.116630436,1.626775241,0.302450377
Jeholochelys lingyuanensis,-1.819801403,0.520838201,-0.018902407,-0.932298154,-0.064499789
Ordosemys liaoxiensis,-1.385896197,0.253381372,0.358358739,-0.679171885,-0.386933724
Hoyasemys jimenezi,-1.672717223,0.623022945,0.442152396,-0.348238478,0.108146681
Protostega gigas,-1.987186029,2.587311428,1.95989419,-3.108504347,1.014855714
Archelon ischyros,-0.718627696,2.579327479,2.106743024,-2.429238982,0.05272101
Rhinochelys nammourensis,-0.380691393,0.141479472,0.875299232,-0.979764003,-0.175967771
Toxochelys latiremis,-1.42528917,0.442162177,0.869197665,-1.528068131,-0.927666092
