,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Ordosemys liaoxiensis_d,1.083658573,-1.57396584,1.428054664,-0.716364321,-0.027742912
Platychelys oberndorferi,-0.630314627,-1.519386136,2.310397544,-0.102704925,-0.315901125
Proganochelys quenstedti,-0.14160029,-1.955888098,1.150651735,-1.121128818,-1.014110873
Protostega gigas,3.096087942,-0.626574621,3.046607395,-3.052678548,1.832739854
Rhinochelys nammourensis,0.134638646,-0.486214506,1.57017722,-0.904792932,0.190518641
Toxochelys latiremis,1.115938162,-1.269911825,1.779395795,-1.680056097,-0.503246161
Xinjiangchelys wusu,-0.005371076,-2.021533541,0.299211831,-0.540583174,-1.237862097
Cricosaurus bambergensis,-1.142968763,-1.935240107,-3.681847615,0.523397511,0.555367236
Cricosaurus suevicus,-1.072519406,-1.272507839,-3.506452185,0.743529865,0.449199506
Dakosaurus maximus,-1.262926698,-1.617006432,-2.770015653,0.629062725,-1.104467392
Metriorhynchus superciliosus,-0.618466088,-1.947236732,-3.74802208,-0.404852389,0.046858362
Metriorhynchus superciliosus_d,-0.618466088,-1.947236732,-3.74802208,-0.404852389,0.046858362
Pelagosaurus typus,-0.285673569,-2.554676799,-2.722589742,0.544909872,2.056651648
Platysuchus multicrobiculatus,-0.34040431,-2.40226033,-2.093476015,-0.186592475,1.777799928
Steneosaurus bollensis,-0.36270459,-2.170250198,-2.127264847,0.542163183,2.150249447
Anshunsaurus huangguoshuensis,-1.302369455,-1.417142552,-0.322215812,-0.050226369,0.097658006
Askeptosaurus italicus,-0.433233264,-2.696838849,-1.826724703,-0.09190448,1.317577396
Askeptosaurus italicus_d,-0.433233264,-2.696838849,-1.826724703,-0.09190448,1.317577396
Clarazia schinzi,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755
Clarazia schinzi_d,-0.466090003,-1.620737113,-0.841566795,0.886287963,0.26435755
Endennasaurus acutirostris,0.135683076,-2.7445744,-0.703396743,0.359612176,1.239936652
Miodentosaurus brevis,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422
Miodentosaurus brevis_d,-0.619349927,-1.408473839,-0.368896502,0.107724969,-1.632744422
Helveticosurus zollingeri,-0.732100923,-0.625890876,1.457195782,0.121415022,-1.127240782
Largocephalosaurus qianensis,-1.293942966,-1.37976271,0.60339019,-0.85354831,-0.560517059
Dinocephalosaurus orientalis,0.482728017,-1.35599357,0.181008295,1.036631357,-1.316270504
Tanystropheus longobardicus,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378
Tanystropheus longobardicus_d,2.322452753,-2.937012377,0.105107418,1.33704498,-1.146388378
Tanytrachelos ahynis,1.859075206,-3.194112612,0.18890735,-0.774380218,-0.284190658
Kallimodon cerinensis ,0.301547498,-2.801373794,0.693261358,0.592507034,0.972639771
Kallimodon pulchellus,0.594403536,-2.958167136,0.581034486,0.63905589,1.069767286
Palaeopleurosaurus posidoniae,-1.655580285,-1.985281599,-0.753426157,1.421784335,-0.642175991
Pleurosaurus ginsburgi,-1.414996722,-2.246707155,-1.816161868,3.115912506,-1.279807035
Pleurosaurus goldfussi,-2.148164697,-2.332647365,-1.091754346,1.458073639,-0.779776357
Sapheosaurus thiollierei,0.09646377,-2.837092214,0.426801385,0.761157375,1.0571627
Vadasaurus herzogi,1.479181524,-2.592485581,0.180922334,0.926003415,1.978028803
